"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR"
Eric,dirichlet,500,500,100,0.5,0.5,0.36,0.025(0.001),0.163(0.004),0.092(0.003),0.052(0.002),0(0),1(0)
Debi,dirichlet,500,500,100,0.5,0.5,0.09,0.23(0.002),2.875(0.035),0.084(0.003),0.147(0.002),0(0),1(0)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,100,150,100,0.5,0.5,0.11,2.967(0.066),2.448(0.182),0.687(0.012),0.053(0.002),0.175(0.012),0.825(0.012)
Eric,lognormal,100,150,100,0.5,0.5,0.21,1.893(0.074),0.676(0.026),0.758(0.016),0.097(0.004),0.152(0.013),0.848(0.013)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,50,100,100,0.5,0.5,0.16,4.241(0.117),4.358(0.362),0.904(0.02),0.066(0.002),0.33(0.016),0.67(0.016)
Eric,lognormal,50,100,100,0.5,0.5,0.31,3.376(0.153),1.147(0.077),0.99(0.027),0.117(0.006),0.318(0.021),0.682(0.021)







"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.056(0.002),0.13(0.011),0.87(0.011)
Eric,lognormal,100,100,100,0.5,0.5,0.2,1.779(0.064),0.655(0.022),0.737(0.015),0.117(0.005),0.128(0.012),0.872(0.012)

Debi,lognormal,100,200,100,0.5,0.5,0.13,3.295(0.074),3.564(0.289),0.758(0.014),0.047(0.001),0.162(0.012),0.838(0.012)
Eric,lognormal,100,200,100,0.5,0.5,0.23,2.159(0.083),0.768(0.03),0.816(0.016),0.077(0.004),0.165(0.014),0.835(0.014)

Eric,lognormal,100,300,100,0.5,0.5,0.25,2.528(0.07),0.868(0.028),0.836(0.014),0.064(0.004),0.197(0.011),0.803(0.011)
Debi,lognormal,100,300,100,0.5,0.5,0.14,3.843(0.074),5.174(0.333),0.807(0.012),0.046(0.001),0.2(0.011),0.8(0.011)

Eric,lognormal,250,400,100,0.5,0.5,0.17,1.055(0.034),0.434(0.013),0.594(0.012),0.048(0.002),0.027(0.007)
Debi,lognormal,250,400,100,0.5,0.5,0.09,3.011(0.047),2.839(0.159),0.617(0.01),0.042(0.001),0.05(0.008),0.95(0.008)
CoDA,lognormal,250,400,100,0.5,0.5,0.14,1.949(0.028),0.829(0.014),0.727(0.007),0.087(0.004),0.03(0.007)
CoCo,lognormal,250,400,100,0.5,0.5,0.16,1.033(0.038),0.42(0.013),0.587(0.013),0.056(0.003),0.022(0.007)
Vani,lognormal,250,400,100,0.5,0.5,0.13,1.921(0.033),0.784(0.015),0.716(0.007),0.108(0.005),0.03(0.007)

Eric,lognormal,500,500,100,0.5,0.5,0.14,0.587(0.015),0.264(0.006),0.453(0.008),0.031(0.001),0(0),1(0)
Debi,lognormal,500,500,100,0.5,0.5,0.07,24551.403(23779.667),5108.107(4931.956),4.785(3.181),0.04(0.003),0.172(0.032),0.828(0.032)
"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR"
Eric,dirmult,100,200,100,0.531182427824674,0.5,0.25,2.267(0.054),0.857(0.023),0.808(0.008),0.075(0.003),0.173(0.011)
Debi,dirmult,100,200,100,0.531722573698084,0.5,0.09,2.374(0.07),2.746(0.209),0.65(0.013),0.052(0.002),0.048(0.01),0.952(0.01)
CoDA,dirmult,100,200,100,0.531290632260068,0.5,0.17,2.44(0.071),0.921(0.03),0.825(0.012),0.142(0.007),0.112(0.013)
CoCo,dirmult,100,200,100,0.531290632260068,0.5,0.24,2.452(0.054),0.86(0.022),0.827(0.01),0.08(0.003),0.215(0.011)
Vani,dirmult,100,200,100,0.531290632260068,0.5,0.15,2.425(0.072),0.865(0.028),0.816(0.012),0.159(0.007),0.123(0.014)

Eric,dirmult,250,400,100,0.711860656124513,0.5,0.27,2.117(0.039),0.987(0.021),0.783(0.008),0.028(0.002),0.15(0.008)
Debi,dirmult,250,400,100,0.712061494444047,0.5,0.08,2.734(0.05),3.617(0.203),0.594(0.01),0.044(0.001),0.008(0.004),0.992(0.004)
CoDA,dirmult,250,400,100,0.711822911323777,0.5,0.14,2.229(0.04),1.034(0.019),0.851(0.007),0.131(0.005),0.02(0.006)
CoCo,dirmult,250,400,100,0.711822911323777,0.5,0.26,2.224(0.041),0.983(0.021),0.776(0.007),0.033(0.002),0.182(0.013)
Vani,dirmult,250,400,100,0.711822911323777,0.5,0.12,2.153(0.036),0.967(0.014),0.842(0.007),0.154(0.005),0.008(0.004)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR"
Eric,dirmult,500,500,100,0.769379381290845,0.5,0.21,1.513(0.039),0.731(0.018),0.671(0.009),0.022(0.001),0.042(0.008)
Debi,dirmult,500,500,100,0.76963222314734,0.5,0.07,14681.079(6342.45),4576.433(1936.922),9.045(1.66),0.044(0.01),0.618(0.039),0.382(0.039)
CoDA,dirmult,500,500,100,0.769196023085855,0.5,0.11,1.904(0.023),1.023(0.01),0.851(0.005),0.121(0.004),0(0)
CoCo,dirmult,500,500,100,0.769196023085855,0.5,0.2,1.538(0.037),0.718(0.015),0.641(0.008),0.025(0.001),0.032(0.009)
